Designator,Mid X,Mid Y,Rotation,Layer
C1,110.25,-71.85,0,top
C2,124.6,-77.65,-90,top
C3,112.1,-90.75,180,top
C4,120,-90.75,180,top
C5,106.65,-76.6,180,top
C6,110.25,-74.1,0,top
C7,124.7,-83.35,90,top
C8,133.05,-86.8,0,top
C9,106.75,-87.4,180,top
C10,106.65,-79.125,180,top
C11,107.45,-83.15,-90,top
D1,132.3,-89.95,90,top
J1,140.195,-79.95,90,top
J2,133.85,-61.58,0,top
J3,128.35,-61.56,0,top
J4,105.83,-61.65,90,top
J5,119.5,-95.5,-90,top
R1,133.05,-93.45,0,top
R2,121.4,-71.8,180,top
R3,113.95,-71.85,180,top
R4,117.65,-71.85,180,top
SW1,120.8,-61.83,180,top
U1,127.3,-90.2,-90,top
U2,116,-82.25,0,top
Y1,104.4,-82.75,-90,top
